timestamp,username,login_hour,failed_logins,files_accessed,download_mb,new_ip
2026-08-04 22:52:54.343021,user03,10,0,12,49,0
2026-08-04 22:51:54.343043,user01,16,2,17,62,0
2026-08-04 22:50:54.343050,user03,18,2,6,88,0
2026-08-04 22:49:54.343055,user03,15,2,6,84,1
2026-08-04 22:48:54.343061,user05,8,2,19,82,1
2026-08-04 22:47:54.343066,user05,18,1,5,90,0
2026-08-04 22:46:54.343071,user04,10,1,11,78,0
2026-08-04 22:45:54.343076,user05,12,1,27,74,1
2026-08-04 22:44:54.343081,user04,16,1,23,0,0
2026-08-04 22:43:54.343086,user02,15,2,5,89,0
2026-08-04 22:42:54.343090,user05,16,2,9,56,0
2026-08-04 22:41:54.343095,user01,16,2,26,9,0
2026-08-04 22:40:54.343106,user03,9,2,20,74,1
2026-08-04 22:39:54.343111,user03,14,2,26,92,1
2026-08-04 22:38:54.343115,user01,10,2,14,51,0
2026-08-04 22:37:54.343119,user05,13,0,26,65,0
2026-08-04 22:36:54.343124,user03,14,2,24,78,1
2026-08-04 22:35:54.343128,user05,9,0,15,36,0
2026-08-04 22:34:54.343133,user03,8,0,27,17,0
2026-08-04 22:33:54.343138,user04,11,2,10,45,0
2026-08-04 22:32:54.343142,user01,10,0,27,82,0
2026-08-04 22:31:54.343146,user03,15,0,8,11,1
2026-08-04 22:30:54.343151,user04,17,1,10,50,0
2026-08-04 22:29:54.343155,user03,10,0,16,91,0
2026-08-04 22:28:54.343160,user01,11,0,27,28,0
2026-08-04 22:27:54.343165,user03,15,2,18,11,0
2026-08-04 22:26:54.343169,user01,11,2,20,81,0
2026-08-04 22:25:54.343176,user03,17,0,10,16,0
2026-08-04 22:24:54.343180,user04,13,1,16,86,1
2026-08-04 22:23:54.343185,user05,9,2,12,46,0
2026-08-04 22:22:54.343189,user02,10,1,12,19,0
2026-08-04 22:21:54.343194,user04,16,0,10,23,0
2026-08-04 22:20:54.343201,user02,10,0,9,63,0
2026-08-04 22:19:54.343206,user04,10,0,28,26,0
2026-08-04 22:18:54.343210,user05,16,0,16,40,1
2026-08-04 22:17:54.343215,user01,10,1,7,97,0
2026-08-04 22:16:54.343220,user04,16,2,15,87,0
2026-08-04 22:15:54.343224,user01,17,1,16,55,0
2026-08-04 22:14:54.343229,user02,11,0,8,89,0
2026-08-04 22:13:54.343234,user01,15,2,8,75,0
2026-08-04 22:12:54.343239,user05,12,2,13,4,0
2026-08-04 22:11:54.343243,user01,11,1,19,33,1
2026-08-04 22:10:54.343248,user02,13,1,13,45,0
2026-08-04 22:09:54.343253,user03,11,0,9,84,1
2026-08-04 22:08:54.343257,user04,18,1,13,81,0
2026-08-04 22:07:54.343262,user05,17,1,9,60,0
2026-08-04 22:06:54.343266,user04,18,2,7,30,0
2026-08-04 22:05:54.343271,user05,10,1,17,45,1
